color,director_name,num_critic_for_reviews,duration,director_facebook_likes
,Doug Walker,,,131
Color,Gore Verbinski,302,169,563
Color,Nathan Greno,324,100,15
Color,David Yates,375,153,282
Color,Sam Raimi,392,156,0
Color,Andrew Stanton,462,132,475
Color,Sam Mendes,602,148,0
Color,Joss Whedon,635,141,0
Color,Zack Snyder,673,183,0
Color,James Cameron,723,178,0
Color,Christopher Nolan,813,164,22000
